time,WMA_daily_5_close,Company
2024-11-07,141.61,ABNB
2024-11-06,138.2767,ABNB
2024-11-05,136.8027,ABNB
2024-11-04,136.356,ABNB
2024-11-01,136.1533,ABNB
2024-10-31,135.962,ABNB
2024-10-30,136.1913,ABNB
2024-10-29,135.5453,ABNB
2024-10-28,134.3267,ABNB
2024-10-25,133.8687,ABNB
2024-10-24,133.9353,ABNB
2024-10-23,134.83,ABNB
2024-10-22,136.2167,ABNB
2024-10-21,136.2253,ABNB
2024-10-18,135.5407,ABNB
2024-10-17,134.966,ABNB
2024-10-16,134.3207,ABNB
2024-10-15,133.988,ABNB
2024-10-14,134.2307,ABNB
2024-10-11,133.6627,ABNB
2024-10-10,132.9213,ABNB
2024-10-09,132.2087,ABNB
2024-10-08,129.982,ABNB
2024-10-07,128.2833,ABNB
2024-10-04,127.1133,ABNB
2024-10-03,125.9633,ABNB
2024-10-02,126.5973,ABNB
2024-10-01,127.2367,ABNB
2024-09-30,128.5133,ABNB
2024-09-27,129.4913,ABNB
2024-09-26,130.1847,ABNB
2024-09-25,130.5113,ABNB
2024-09-24,129.7987,ABNB
2024-09-23,128.2053,ABNB
2024-09-20,126.6633,ABNB
2024-09-19,123.5093,ABNB
2024-09-18,120.406,ABNB
2024-09-17,118.982,ABNB
2024-09-16,117.1913,ABNB
2024-09-13,116.8447,ABNB
2024-09-12,116.2,ABNB
2024-09-11,115.6053,ABNB
2024-09-10,115.4273,ABNB
2024-09-09,115.52,ABNB
2024-09-06,115.2627,ABNB
2024-09-05,115.8533,ABNB
2024-09-04,115.9087,ABNB
2024-09-03,116.3827,ABNB
2024-08-30,116.982,ABNB
2024-08-29,116.774,ABNB
2024-08-28,116.726,ABNB
2024-08-27,116.378,ABNB
2024-08-26,116.336,ABNB
2024-08-23,116.866,ABNB
2024-08-22,116.98,ABNB
2024-08-21,117.7893,ABNB
2024-08-20,117.7593,ABNB
2024-08-19,117.7973,ABNB
2024-08-16,116.8807,ABNB
2024-08-15,116.8253,ABNB
2024-08-14,115.6307,ABNB
2024-08-13,115.1007,ABNB
2024-08-12,115.2553,ABNB
2024-08-09,117.2827,ABNB
2024-08-08,119.7,ABNB
2024-08-07,123.6273,ABNB
