time,"FAMA_MAMA_daily_close_[0.25, 0.25]","MAMA_daily_close_[0.25, 0.25]",Company
2024-11-07,135.5164,140.0163,ABNB
2024-11-06,134.8735,137.5651,ABNB
2024-11-05,134.489,136.4502,ABNB
2024-11-04,134.2088,135.9935,ABNB
2024-11-01,133.9539,135.7014,ABNB
2024-10-31,133.7042,135.4485,ABNB
2024-10-30,133.455,135.668,ABNB
2024-10-29,133.1389,135.3907,ABNB
2024-10-28,132.8172,134.5942,ABNB
2024-10-25,132.5634,134.199,ABNB
2024-10-24,132.3297,134.072,ABNB
2024-10-23,132.0808,134.5127,ABNB
2024-10-22,131.7334,135.3769,ABNB
2024-10-21,131.2129,135.3058,ABNB
2024-10-18,130.6282,134.6778,ABNB
2024-10-17,130.0496,134.0871,ABNB
2024-10-16,129.4729,133.4428,ABNB
2024-10-15,128.9057,132.8737,ABNB
2024-10-14,128.3389,132.7416,ABNB
2024-10-11,127.7099,132.0588,ABNB
2024-10-10,127.0887,131.2783,ABNB
2024-10-09,126.4902,130.7678,ABNB
2024-10-08,125.8791,129.1937,ABNB
2024-10-07,125.4056,128.0916,ABNB
2024-10-04,125.0218,127.3788,ABNB
2024-10-03,124.6851,126.5551,ABNB
2024-10-02,124.418,126.9768,ABNB
2024-10-01,124.0524,127.2424,ABNB
2024-09-30,123.5967,127.8332,ABNB
2024-09-27,122.9915,128.1742,ABNB
2024-09-26,122.2511,128.149,ABNB
2024-09-25,121.4086,127.782,ABNB
2024-09-24,120.4981,126.806,ABNB
2024-09-23,119.597,125.2479,ABNB
2024-09-20,118.7897,123.9873,ABNB
2024-09-19,118.0472,121.5897,ABNB
2024-09-18,117.5411,119.2029,ABNB
2024-09-17,117.3038,118.1305,ABNB
2024-09-16,117.1856,116.8007,ABNB
2024-09-13,117.2406,116.551,ABNB
2024-09-12,117.3392,116.1513,ABNB
2024-09-11,117.5089,115.7484,ABNB
2024-09-10,117.7603,115.6778,ABNB
2024-09-09,118.0578,115.8638,ABNB
2024-09-06,118.3713,115.6984,ABNB
2024-09-05,118.7531,116.1712,ABNB
2024-09-04,119.122,116.1749,ABNB
2024-09-03,119.543,116.4965,ABNB
2024-08-30,119.9782,117.002,ABNB
2024-08-29,120.4034,116.8993,ABNB
2024-08-28,120.904,116.9991,ABNB
2024-08-27,121.4618,116.8221,ABNB
2024-08-26,122.1246,116.8495,ABNB
2024-08-23,122.8782,117.2293,ABNB
2024-08-22,123.6852,117.3558,ABNB
2024-08-21,124.5894,117.9911,ABNB
2024-08-20,125.532,118.0947,ABNB
2024-08-19,126.5945,118.333,ABNB
2024-08-16,127.7747,118.064,ABNB
2024-08-15,129.162,118.6486,ABNB
2024-08-14,130.6639,118.5715,ABNB
2024-08-13,132.3913,119.3487,ABNB
