time,WMA_daily_5_close,Company,WMA_daily_10_close,"FAMA_MAMA_daily_close_(0.1, 0.1)","MAMA_daily_close_(0.1, 0.1)","FAMA_MAMA_daily_close_(0.25, 0.25)","MAMA_daily_close_(0.25, 0.25)"
2021-02-23,194.704,ABNB,200.26,135.7947,191.7765,194.2213,197.6463
2021-02-24,195.8373,ABNB,199.6615,138.6359,192.6188,194.7292,198.2847
2021-02-25,191.0413,ABNB,195.7589,141.2822,191.563,194.6666,194.2285
2021-02-26,195.4073,ABNB,196.8109,143.8702,193.0417,194.9906,197.2589
2021-03-01,196.1113,ABNB,196.2482,146.3457,193.3795,195.248,197.0492
2021-03-02,194.57,ABNB,194.7956,148.6799,193.0315,195.2497,195.2619
2021-03-03,189.708,ABNB,191.9787,150.8344,191.7684,194.7868,191.5464
2021-03-04,186.1093,ABNB,189.5229,152.8234,190.6145,194.0281,188.7173
2021-03-05,182.4927,ABNB,187.3145,154.6589,189.5341,193.0859,186.4905
2021-03-08,180.9787,ABNB,185.6745,156.3591,188.6617,192.084,185.0704
2021-03-09,181.272,ABNB,184.7169,157.9464,188.1065,191.146,184.5803
2021-03-10,182.2447,ABNB,183.9644,159.4328,187.6749,190.3006,184.3827
2021-03-11,187.6847,ABNB,186.0702,160.8959,188.6944,189.9823,187.7545
2021-03-12,194.9053,ABNB,189.5013,162.3761,190.4989,190.2971,192.5009
2021-03-15,201.414,ABNB,193.5162,163.8797,192.448,191.1192,196.8732
2021-03-16,202.6507,ABNB,195.4698,165.3459,193.2042,191.9364,197.6574
2021-03-17,203.2107,ABNB,197.4851,166.7796,194.0198,192.7673,198.583
2021-03-18,199.296,ABNB,197.3175,168.1288,193.7628,193.2713,196.7998
2021-03-19,196.7893,ABNB,197.4804,169.4136,193.8256,193.6371,196.1973
2021-03-22,195.3093,ABNB,197.4891,170.6401,193.943,193.9197,195.898
2021-03-23,192.2087,ABNB,195.8107,171.7712,193.2627,193.8933,193.7085
2021-03-24,187.2027,ABNB,192.5518,172.7737,191.8214,193.4059,189.9939
2021-03-25,182.8007,ABNB,188.8936,173.6478,190.2553,192.5471,186.5354
2021-03-26,178.8313,ABNB,185.3102,174.3989,188.6698,191.4164,183.5016
2021-03-29,178.8947,ABNB,183.7875,175.0816,188.0528,190.3957,183.2512
2021-03-30,179.9913,ABNB,182.8736,175.7054,187.5575,189.4979,183.2134
2021-03-31,182.9707,ABNB,183.1473,176.2999,187.5958,188.8601,184.395
2021-04-01,185.444,ABNB,183.7195,176.8679,187.6602,188.4221,185.3563
2021-04-05,186.5953,ABNB,184.0682,177.4027,187.5632,188.0805,185.6897
2021-04-06,188.0407,ABNB,185.1642,177.923,187.8098,187.9173,186.7748
2021-04-07,185.6207,ABNB,184.516,178.378,187.0229,187.5609,185.0661
2021-04-08,183.4913,ABNB,184.0424,178.7761,186.3386,187.0964,183.8446
2021-04-09,181.6527,ABNB,183.4209,179.12,185.6547,186.5541,182.7584
2021-04-12,179.3933,ABNB,182.1915,179.4009,184.7382,185.8838,181.1913
2021-04-13,178.3007,ABNB,181.1895,179.6338,184.0594,185.1959,180.381
2021-04-14,177.5067,ABNB,179.9938,179.817,183.2965,184.4706,179.3932
2021-04-15,176.5867,ABNB,178.7231,179.9512,182.5018,183.7096,178.3824
2021-04-16,177.102,ABNB,178.2885,180.0597,182.1206,183.0533,178.4593
2021-04-19,176.3013,ABNB,177.2804,180.125,181.3666,182.3578,177.4895
2021-04-20,173.958,ABNB,175.5815,180.1281,180.1869,181.5018,175.5096
2021-04-21,171.34,ABNB,173.8,180.0655,178.8752,180.489,173.3997
2021-04-22,170.5593,ABNB,172.9144,179.9651,178.0587,179.5188,172.7273
2021-04-23,171.268,ABNB,172.8445,179.8508,177.6778,178.7175,173.108
2021-04-26,172.4827,ABNB,172.9847,179.7281,177.3981,178.0716,173.551
2021-04-27,174.6973,ABNB,173.7105,179.6143,177.4522,177.6437,174.6482
2021-04-28,177.0407,ABNB,174.8111,179.519,177.707,177.4365,175.9862
2021-04-29,177.7487,ABNB,175.4249,179.4282,177.7043,177.3082,176.4096
2021-04-30,176.3353,ABNB,175.0927,179.3171,177.2049,177.0802,175.4847
2021-05-03,173.4913,ABNB,174.0329,179.166,176.2954,176.6503,173.641
2021-05-04,171.362,ABNB,173.2344,178.9855,175.5559,176.126,172.4558
2021-05-05,167.6453,ABNB,171.2535,178.7479,174.2333,175.3508,169.9243
2021-05-06,162.21,ABNB,167.7787,178.4192,172.1739,174.1636,165.8533
2021-05-07,157.5673,ABNB,164.1725,178.0021,170.0776,172.6672,162.1924
2021-05-10,152.8647,ABNB,160.1707,177.4891,167.7428,170.8747,158.3268
2021-05-11,148.254,ABNB,155.9535,176.8767,165.2415,168.8188,154.4276
2021-05-12,144.5613,ABNB,151.9255,176.17,162.7424,166.5768,150.8832
2021-05-13,140.8407,ABNB,147.802,175.3637,160.0431,164.1422,147.0999
2021-05-14,140.1293,ABNB,145.4318,174.5034,158.1588,161.8276,145.6249
2021-05-17,137.1853,ABNB,142.0527,173.5579,155.5929,159.3921,142.3437
2021-05-18,136.03,ABNB,139.7793,172.5568,153.5356,157.0322,140.5128
2021-05-19,136.4453,ABNB,138.6982,171.529,152.0011,154.8947,139.9321
2021-05-20,136.3347,ABNB,137.6942,170.4736,150.421,152.9077,138.9991
2021-05-21,135.6973,ABNB,136.7364,169.3924,148.8499,151.0351,137.9268
2021-05-24,135.8927,ABNB,136.2967,168.3006,147.5559,149.3335,137.4226
2021-05-25,135.2207,ABNB,135.7047,167.1955,146.1993,147.7374,136.5644
2021-05-26,134.8707,ABNB,135.4098,166.0885,145.0544,146.2841,136.1108
2021-05-27,137.5567,ABNB,136.7458,165.0273,144.8659,145.233,137.8756
2021-05-28,138.8547,ABNB,137.4433,163.9969,144.4193,144.3922,138.5067
2021-06-01,141.0767,ABNB,138.8662,163.0175,144.4084,143.8379,139.9575
2021-06-02,144.9687,ABNB,141.2907,162.12,145.0676,143.6979,142.7182
2021-06-03,145.4567,ABNB,142.1865,161.263,144.9798,143.6215,143.0861
2021-06-04,147.4953,ABNB,144.1624,160.4776,145.5548,143.7934,144.9971
2021-06-07,148.4433,ABNB,145.554,159.7485,145.8963,144.068,145.9903
2021-06-08,148.1667,ABNB,146.33,159.0615,146.0077,144.3402,146.2452
2021-06-09,146.99,ABNB,146.5115,158.403,145.8919,144.5347,145.8964
2021-06-10,146.6467,ABNB,146.7264,157.7786,145.9147,144.7119,145.9523
2021-06-11,146.948,ABNB,147.1564,157.198,146.1673,144.9447,146.5742
2021-06-14,147.6587,ABNB,147.6305,156.6617,146.4715,145.2308,147.2332
2021-06-15,149.21,ABNB,148.4118,156.1787,147.0024,145.6231,148.3699
2021-06-16,149.5667,ABNB,148.5791,155.7307,147.2171,145.9909,148.5649
